GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemLogic,za.ac.nwu.ac.logic.config,LogicConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemLogic,za.ac.nwu.ac.logic.flow.impl,CreateAccountTypeFlowImpl,0,25,0,0,0,8,0,4,0,4
AccountSystemLogic,za.ac.nwu.ac.logic.flow.impl,FetchMemberFlowImpl,0,34,0,0,0,11,0,6,0,6
AccountSystemLogic,za.ac.nwu.ac.logic.flow.impl,CreateMemberFlowImpl,0,33,1,1,0,10,1,4,0,4
AccountSystemLogic,za.ac.nwu.ac.logic.flow.impl,FetchAccountTypeFlowImpl,0,34,0,0,0,11,0,6,0,6
AccountSystemLogic,za.ac.nwu.ac.logic.flow.impl,ModifyMemberFlowImpl,4,80,2,2,2,14,2,6,0,6
