GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,AccountTransactionController,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,MemberController,98,0,0,0,20,0,6,0,6,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,AccountTypeController,34,25,0,0,6,7,2,2,2,2
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb,RestServiceApplication,8,0,0,0,3,0,2,0,2,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.exception,ExeptionResponseHandler,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.config,WebConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.config,SwaggerConfig,40,0,0,0,10,0,3,0,3,0
